accident_id,city,state,latitude,longitude,hour,lanes,traffic_signal,visibility,temperature,traffic_density,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,is_festival,month,year,cause_drunk driving,cause_overspeeding,cause_poor road,cause_weather,weather_fog,weather_rain,road_type_rural,road_type_urban,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
30,Bangalore,Karnataka,13.181455,77.704682,17,3,1,2,36,2,0,1,1,1,None,0.45,0,5,2023,False,False,False,False,False,False,True,False,False,False,True,False,False,False
31,Mumbai,Maharashtra,19.277812,72.889938,7,6,0,2,24,0,0,3,1,0,None,0.1,0,12,2024,False,False,True,False,False,False,True,False,False,False,False,False,True,False
32,Kolkata,West Bengal,22.644485,88.376914,7,6,1,0,18,0,0,5,4,0,None,0.45,0,10,2024,False,True,False,False,True,False,False,True,False,False,False,False,False,False
33,Bangalore,Karnataka,13.007483,77.745779,3,1,0,1,23,1,0,4,4,0,None,0.25,0,10,2023,True,False,False,False,False,True,False,False,True,False,False,False,False,False
34,Delhi,Delhi,28.767686,77.102505,17,1,1,0,27,1,0,5,2,1,None,0.6,0,6,2022,False,False,True,False,True,False,True,False,False,False,False,True,False,False
35,Chandigarh,Punjab,30.79305,76.864728,4,6,0,2,35,0,0,5,1,0,None,0.1,0,12,2023,False,True,False,False,False,False,False,False,False,False,False,True,False,False
36,Delhi,Delhi,28.513789,77.26605,14,6,1,0,24,2,0,1,0,0,None,0.65,0,1,2024,True,False,False,False,True,False,True,False,False,False,False,False,True,False
37,Chennai,Tamil Nadu,12.941766,80.271836,18,5,1,2,32,0,2,4,4,1,None,0.45,0,2,2023,False,False,False,True,False,False,False,False,False,False,True,False,False,False
38,Pune,Maharashtra,18.497326,73.919761,6,5,0,1,20,0,0,2,1,0,None,0.25,0,12,2023,True,False,False,False,False,True,True,False,True,False,False,False,False,False
39,Kolkata,West Bengal,22.568337,88.326718,1,4,1,1,30,2,0,4,3,0,None,0.45,0,9,2023,False,False,False,True,False,True,True,False,False,True,False,False,False,False
40,Mumbai,Maharashtra,18.945509,72.865677,22,5,1,1,40,2,0,2,2,0,None,0.45,0,11,2024,False,False,False,False,False,True,False,False,False,False,False,False,True,False
41,Chandigarh,Punjab,30.739178,76.722246,9,4,0,1,29,2,2,3,3,1,None,0.8,0,7,2023,True,False,False,False,False,True,False,True,False,False,False,False,False,False
42,Hyderabad,Telangana,17.36441,78.442288,22,4,1,1,20,1,1,1,0,0,None,0.25,0,3,2022,False,True,False,False,False,True,False,True,False,False,False,False,True,False
43,Chennai,Tamil Nadu,13.174093,80.150346,13,2,1,2,20,0,0,1,1,0,None,0.1,0,1,2025,False,False,False,True,False,False,False,False,True,False,False,False,False,False
44,Chandigarh,Punjab,30.75772,76.718682,0,3,1,1,26,0,1,2,2,0,None,0.25,0,11,2022,True,False,False,False,False,True,True,False,False,False,False,False,True,False
45,Bangalore,Karnataka,13.032625,77.614829,9,2,1,1,21,2,0,1,1,1,None,0.6,0,6,2024,False,False,False,False,False,True,False,True,False,False,False,False,False,False
46,Chandigarh,Punjab,30.774779,76.862232,11,6,1,0,31,0,1,4,4,0,None,0.45,0,4,2025,False,False,True,False,False,True,False,True,False,False,False,False,False,False
47,Delhi,Delhi,28.683622,77.273941,15,2,1,1,16,1,1,3,3,0,None,0.25,0,2,2023,False,False,True,False,False,True,True,False,True,False,False,False,False,False
48,Hyderabad,Telangana,17.384544,78.420669,14,4,0,0,22,2,1,2,0,0,None,0.65,0,5,2022,False,False,False,True,False,True,False,False,True,False,False,False,False,False
49,Hyderabad,Telangana,17.217784,78.280672,13,3,1,0,31,1,1,2,2,0,None,0.45,0,12,2024,False,False,False,False,True,False,True,False,True,False,False,False,False,False
50,Pune,Maharashtra,18.482992,73.944129,9,2,1,2,32,2,1,3,1,1,None,0.45,0,2,2024,False,True,False,False,False,False,False,False,False,False,False,True,False,False
51,Hyderabad,Telangana,17.224481,78.470636,7,3,1,0,17,1,1,2,2,0,None,0.45,0,2,2023,True,False,False,False,True,False,True,False,False,False,False,True,False,False
52,Bangalore,Karnataka,12.863932,77.797043,2,4,0,0,15,0,1,1,0,0,None,0.45,0,7,2024,True,False,False,False,True,False,False,True,False,False,True,False,False,False
53,Mumbai,Maharashtra,19.090552,72.9844,21,1,1,0,29,1,0,3,0,0,None,0.45,0,3,2023,False,False,True,False,False,True,True,False,False,False,False,False,True,False
54,Chandigarh,Punjab,30.790067,76.805399,3,5,1,0,25,0,1,3,1,0,None,0.45,0,9,2024,False,False,False,True,False,True,False,False,True,False,False,False,False,False
55,Delhi,Delhi,28.502883,77.165457,6,5,1,0,32,1,0,3,3,0,None,0.45,0,11,2022,True,False,False,False,True,False,False,True,False,False,False,True,False,False
56,Chandigarh,Punjab,30.774233,76.72531,0,3,0,2,40,0,1,2,1,0,None,0.1,0,9,2023,False,False,False,False,False,False,False,True,False,False,False,True,False,False
57,Mumbai,Maharashtra,19.232608,72.869852,6,6,0,0,21,1,1,2,1,0,None,0.45,0,6,2023,False,False,False,True,True,False,False,True,False,False,True,False,False,False
58,Chennai,Tamil Nadu,12.959773,80.153419,2,1,0,2,31,0,0,1,0,0,None,0.1,0,6,2022,False,True,False,False,False,False,False,True,False,False,False,False,True,False
59,Chennai,Tamil Nadu,12.985135,80.226248,23,2,0,0,25,2,2,4,4,0,None,0.85,0,3,2025,False,True,False,False,False,True,True,False,False,False,False,False,False,False
60,Mumbai,Maharashtra,19.061169,72.872827,14,5,1,2,19,0,0,2,0,0,None,0.1,0,4,2024,False,False,True,False,False,False,False,True,False,False,False,False,False,True
61,Delhi,Delhi,28.463133,76.976698,9,1,1,1,39,1,1,1,0,1,None,0.4,0,12,2024,False,False,False,False,False,True,True,False,False,False,False,False,True,False
62,Chennai,Tamil Nadu,12.852053,80.121615,14,6,1,1,27,2,1,3,1,0,None,0.45,0,5,2023,False,False,False,False,False,True,False,True,False,True,False,False,False,False
63,Chennai,Tamil Nadu,13.017299,80.224813,0,3,0,0,26,0,1,4,1,0,None,0.45,0,4,2024,False,True,False,False,True,False,True,False,False,False,False,False,True,False
64,Pune,Maharashtra,18.560997,73.811173,23,2,1,0,24,1,1,2,2,0,None,0.45,0,8,2024,True,False,False,False,True,False,True,False,False,True,False,False,False,False
65,Chennai,Tamil Nadu,12.97141,80.197487,7,4,1,1,18,2,1,1,0,0,None,0.45,0,12,2023,True,False,False,False,False,True,True,False,True,False,False,False,False,False
66,Mumbai,Maharashtra,19.264702,72.886613,10,1,1,2,21,2,1,2,2,1,None,0.45,0,9,2022,False,False,True,False,False,False,False,False,False,False,False,True,False,False
67,Mumbai,Maharashtra,18.811624,72.877651,5,2,1,0,17,2,0,5,5,0,None,0.65,0,2,2022,True,False,False,False,True,False,True,False,False,False,True,False,False,False
68,Chandigarh,Punjab,30.674067,76.774623,21,4,0,2,36,2,1,3,1,0,None,0.3,0,4,2024,False,False,False,False,False,False,True,False,False,False,False,False,True,False
69,Mumbai,Maharashtra,19.208566,72.896859,6,6,1,0,34,0,1,1,1,0,None,0.45,0,5,2023,False,False,True,False,True,False,False,False,False,False,False,False,False,False
70,Hyderabad,Telangana,17.530898,78.305176,19,2,1,0,38,0,0,3,3,1,None,0.6,0,11,2024,False,False,True,False,True,False,False,False,False,False,False,False,True,False
71,Pune,Maharashtra,18.442448,73.878574,14,4,0,0,19,2,1,2,2,0,None,0.65,0,3,2024,True,False,False,False,True,False,False,True,False,False,True,False,False,False
72,Delhi,Delhi,28.47365,77.060874,11,2,1,2,21,2,2,5,5,0,None,0.5,0,3,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False
73,Bangalore,Karnataka,12.984625,77.767823,6,1,1,0,19,0,2,1,1,0,None,0.65,0,9,2022,False,False,False,False,False,True,True,False,False,False,False,False,False,True
74,Bangalore,Karnataka,12.954595,77.488507,13,1,1,0,29,1,1,2,0,0,None,0.45,0,2,2024,False,True,False,False,True,False,False,False,False,False,True,False,False,False
75,Chandigarh,Punjab,30.78901,76.887359,19,1,1,2,23,2,0,4,0,1,None,0.45,0,5,2022,False,False,False,True,False,False,False,True,True,False,False,False,False,False
76,Pune,Maharashtra,18.528017,73.850369,6,4,1,0,39,0,0,2,1,0,None,0.45,0,9,2023,False,False,True,False,False,True,False,True,False,False,False,False,True,False
77,Pune,Maharashtra,18.549441,73.804096,5,4,1,0,39,2,0,2,0,0,None,0.65,0,4,2025,True,False,False,False,True,False,False,True,True,False,False,False,False,False
78,Chennai,Tamil Nadu,12.919435,80.207627,15,2,1,0,27,2,2,5,5,0,None,0.85,0,3,2023,False,False,True,False,True,False,False,True,False,False,False,False,True,False
79,Delhi,Delhi,28.813866,77.149528,21,6,1,0,19,2,0,3,1,0,None,0.65,0,1,2025,False,False,True,False,True,False,False,True,False,False,False,False,False,False
80,Chandigarh,Punjab,30.658767,76.836989,14,6,0,1,36,1,1,3,1,0,None,0.25,0,3,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,False
81,Pune,Maharashtra,18.499609,73.81264,6,2,0,1,37,1,0,3,0,0,None,0.25,0,6,2024,False,True,False,False,False,True,False,False,False,False,False,False,False,False
82,Kolkata,West Bengal,22.641847,88.381884,22,1,1,0,30,0,0,1,0,0,None,0.45,0,11,2024,False,True,False,False,True,False,True,False,False,False,False,False,True,False
83,Hyderabad,Telangana,17.386509,78.48781,0,1,1,1,38,0,1,3,0,0,None,0.25,0,4,2022,False,False,False,True,False,True,True,False,True,False,False,False,False,False
84,Hyderabad,Telangana,17.335804,78.271751,3,5,1,0,40,0,1,2,2,0,None,0.45,0,4,2023,False,False,False,True,True,False,False,True,False,False,False,False,False,False
85,Chandigarh,Punjab,30.645926,76.791403,17,2,0,0,36,1,1,3,2,1,None,0.6,0,1,2025,False,False,False,True,True,False,False,False,False,False,False,True,False,False
86,Chennai,Tamil Nadu,12.93952,80.153093,14,2,1,0,25,1,0,5,1,0,None,0.45,0,12,2023,False,True,False,False,False,True,True,False,False,False,False,True,False,False
87,Hyderabad,Telangana,17.512138,78.471549,6,1,0,0,30,0,0,5,5,0,None,0.45,0,4,2024,False,False,True,False,False,True,False,False,False,False,False,False,False,True
88,Mumbai,Maharashtra,18.803193,72.982741,4,3,0,0,19,0,0,5,4,0,None,0.45,0,9,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,True
89,Delhi,Delhi,28.838921,76.991482,22,3,0,2,24,2,0,2,1,0,None,0.3,0,2,2025,False,False,False,False,False,False,False,False,False,False,True,False,False,False
90,Hyderabad,Telangana,17.470165,78.472552,2,3,1,1,20,1,1,1,1,0,None,0.25,0,9,2022,False,False,False,True,False,True,False,True,False,True,False,False,False,False
91,Pune,Maharashtra,18.537548,73.723176,23,3,0,1,38,2,1,5,3,0,None,0.45,0,10,2022,True,False,False,False,False,True,True,False,False,False,False,False,False,False
92,Bangalore,Karnataka,12.941515,77.674347,5,6,0,0,35,2,0,3,1,0,None,0.65,0,11,2024,False,True,False,False,True,False,True,False,False,False,False,True,False,False
93,Pune,Maharashtra,18.467712,73.954984,9,1,1,0,18,2,0,5,5,1,None,0.8,0,3,2025,False,False,True,False,True,False,True,False,False,False,False,False,False,False
94,Hyderabad,Telangana,17.44697,78.449607,18,1,0,0,19,2,0,2,1,1,None,0.8,0,9,2023,False,True,False,False,True,False,False,True,False,False,False,False,True,False
95,Mumbai,Maharashtra,19.250366,72.762997,22,4,0,0,35,1,1,4,4,0,None,0.45,0,6,2024,False,False,True,False,True,False,False,True,False,False,False,True,False,False
96,Kolkata,West Bengal,22.48522,88.321126,2,4,1,2,37,0,0,3,3,0,None,0.1,0,9,2022,False,True,False,False,False,False,True,False,True,False,False,False,False,False
97,Chandigarh,Punjab,30.662289,76.860184,7,4,0,2,27,1,1,3,0,0,None,0.1,0,8,2024,False,False,False,True,False,False,True,False,False,True,False,False,False,False
98,Pune,Maharashtra,18.687205,73.858717,17,4,0,2,16,1,1,4,4,1,None,0.25,0,3,2023,False,False,False,False,False,False,False,False,False,False,False,False,False,True
99,Chandigarh,Punjab,30.729891,76.786151,6,2,0,0,34,0,0,5,2,0,None,0.45,0,4,2022,True,False,False,False,True,False,False,False,False,False,True,False,False,False
100,Chennai,Tamil Nadu,12.810721,80.19735,18,2,1,0,36,2,0,4,2,1,None,0.8,0,8,2023,False,False,True,False,True,False,False,True,False,True,False,False,False,False
101,Kolkata,West Bengal,22.537913,88.323836,23,5,1,0,40,2,0,3,1,0,None,0.65,0,7,2023,False,False,False,False,False,True,False,False,False,False,True,False,False,False
102,Bangalore,Karnataka,13.045999,77.520041,12,4,1,1,26,0,2,1,1,0,None,0.45,0,4,2023,False,False,False,False,False,True,False,True,True,False,False,False,False,False
103,Bangalore,Karnataka,12.848361,77.433807,7,2,0,2,25,1,1,1,0,0,None,0.1,0,10,2022,True,False,False,False,False,False,True,False,False,False,False,False,False,True
104,Bangalore,Karnataka,13.057964,77.590444,20,2,0,2,40,1,0,4,0,0,None,0.1,0,12,2023,True,False,False,False,False,False,False,False,False,False,True,False,False,False
105,Mumbai,Maharashtra,18.990602,72.799954,20,2,1,0,23,0,1,1,0,0,None,0.45,0,12,2024,True,False,False,False,False,True,False,False,True,False,False,False,False,False
106,Hyderabad,Telangana,17.426893,78.488724,13,4,1,0,39,0,0,5,1,0,None,0.45,0,3,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,False
107,Mumbai,Maharashtra,18.838523,72.976824,22,1,1,1,15,0,0,5,1,0,None,0.25,0,11,2023,True,False,False,False,False,True,True,False,False,False,False,False,False,True
108,Chennai,Tamil Nadu,13.10543,80.11737,4,6,0,2,29,1,0,2,1,0,None,0.1,0,12,2023,False,False,False,True,False,False,True,False,False,False,False,False,False,True
109,Delhi,Delhi,28.519189,76.859451,2,1,0,0,27,2,0,1,0,0,None,0.65,0,2,2024,False,False,True,False,False,True,True,False,False,True,False,False,False,False
110,Bangalore,Karnataka,12.94701,77.785423,16,1,0,2,34,0,0,5,5,0,None,0.1,0,11,2024,False,False,False,False,False,False,True,False,False,False,False,False,True,False
111,Hyderabad,Telangana,17.49119,78.27063,8,4,0,0,31,2,0,3,0,1,None,0.8,0,2,2025,False,False,True,False,False,True,False,True,False,True,False,False,False,False
112,Chennai,Tamil Nadu,12.812744,80.226751,20,2,0,0,17,0,1,5,2,0,None,0.45,0,9,2022,True,False,False,False,True,False,False,False,False,False,False,False,False,True
113,Chennai,Tamil Nadu,13.126298,80.273119,9,6,1,2,34,1,1,4,1,1,None,0.25,0,7,2024,False,True,False,False,False,False,False,False,False,False,True,False,False,False
114,Kolkata,West Bengal,22.686595,88.399393,15,6,0,0,31,1,2,1,1,0,None,0.65,0,8,2024,False,False,False,True,True,False,True,False,False,True,False,False,False,False
115,Hyderabad,Telangana,17.416162,78.471995,11,4,1,0,17,2,0,3,1,0,None,0.65,0,2,2022,False,False,False,False,False,True,True,False,False,True,False,False,False,False
116,Chennai,Tamil Nadu,12.829772,80.266893,5,3,0,0,24,2,0,2,1,0,None,0.65,0,11,2023,False,True,False,False,False,True,True,False,False,False,False,True,False,False
117,Chandigarh,Punjab,30.703228,76.745141,22,5,0,0,36,2,0,4,4,0,None,0.65,0,4,2022,True,False,False,False,False,True,False,False,False,False,False,False,False,True
118,Pune,Maharashtra,18.671835,73.77906,13,3,0,0,18,0,0,1,1,0,None,0.45,0,6,2023,False,False,True,False,False,True,False,True,False,False,False,False,False,False
119,Chandigarh,Punjab,30.780406,76.759015,19,1,0,1,26,2,1,3,0,1,None,0.6,0,11,2024,True,False,False,False,False,True,True,False,False,False,False,True,False,False
120,Bangalore,Karnataka,12.863873,77.573049,14,3,0,2,20,2,1,4,0,0,None,0.3,0,6,2023,True,False,False,False,False,False,True,False,False,False,False,False,False,False
121,Chandigarh,Punjab,30.612508,76.8941,11,2,1,1,15,1,0,3,2,0,None,0.25,0,9,2024,True,False,False,False,False,True,False,False,False,True,False,False,False,False
122,Pune,Maharashtra,18.613759,73.739609,17,5,0,2,16,2,1,4,1,1,None,0.45,0,11,2022,False,False,False,True,False,False,False,False,False,False,False,False,True,False
123,Kolkata,West Bengal,22.615566,88.245733,13,4,1,2,25,0,1,3,1,0,None,0.1,0,9,2022,False,False,True,False,False,False,False,True,False,False,False,False,False,False
124,Chennai,Tamil Nadu,12.917829,80.107956,0,6,0,1,40,2,1,2,0,0,None,0.45,0,9,2022,False,True,False,False,False,True,False,False,False,False,False,False,False,False
125,Chandigarh,Punjab,30.669447,76.798384,13,5,1,0,38,1,0,4,3,0,None,0.45,0,7,2024,False,False,False,True,True,False,False,True,False,False,True,False,False,False
126,Chennai,Tamil Nadu,13.023148,80.267046,22,4,0,2,36,0,1,3,3,0,None,0.1,0,10,2023,False,False,False,False,False,False,True,False,False,False,False,False,True,False
127,Hyderabad,Telangana,17.469395,78.426902,23,1,0,0,17,1,1,3,1,0,None,0.45,0,6,2022,False,False,True,False,False,True,False,True,False,False,True,False,False,False
128,Pune,Maharashtra,18.445959,73.866259,13,4,1,2,20,1,1,2,2,0,None,0.1,0,12,2022,False,False,False,False,False,False,True,False,True,False,False,False,False,False
129,Bangalore,Karnataka,12.810804,77.644324,15,3,0,0,31,0,0,1,1,0,None,0.45,0,4,2023,False,False,False,True,True,False,False,False,False,False,False,False,False,True
130,Kolkata,West Bengal,22.605036,88.211938,20,5,1,1,22,1,1,1,1,0,None,0.25,0,7,2022,False,True,False,False,False,True,False,True,False,False,False,False,False,True
131,Chandigarh,Punjab,30.749547,76.70627,5,1,0,0,24,2,0,4,2,0,None,0.65,0,1,2024,False,False,True,False,True,False,False,True,False,False,False,False,False,True
132,Delhi,Delhi,28.8028,76.835013,15,4,0,1,19,0,2,2,2,0,None,0.45,0,6,2022,True,False,False,False,False,True,False,False,True,False,False,False,False,False
133,Pune,Maharashtra,18.571932,73.724503,3,2,0,2,31,0,1,3,0,0,None,0.1,0,1,2025,True,False,False,False,False,False,False,False,False,False,False,False,True,False
134,Bangalore,Karnataka,12.913562,77.619006,19,3,0,1,34,1,1,4,3,1,None,0.4,0,10,2023,False,False,True,False,False,True,False,False,True,False,False,False,False,False
135,Chandigarh,Punjab,30.771578,76.798125,20,3,1,1,25,2,2,5,5,0,None,0.65,0,9,2023,False,False,False,True,False,True,False,False,False,False,True,False,False,False
136,Chennai,Tamil Nadu,12.910539,80.183088,12,5,1,2,28,2,0,3,2,0,None,0.3,0,7,2023,False,False,True,False,False,False,False,False,False,True,False,False,False,False
137,Hyderabad,Telangana,17.57514,78.484234,0,5,0,0,17,0,1,1,0,0,None,0.45,0,7,2023,False,False,False,False,False,True,False,False,False,False,True,False,False,False
138,Pune,Maharashtra,18.697073,73.828047,4,2,0,2,20,2,0,5,2,0,None,0.3,0,11,2022,False,False,False,True,False,False,False,False,True,False,False,False,False,False
139,Mumbai,Maharashtra,19.257558,72.75368,10,3,1,0,30,2,1,3,0,1,None,0.8,0,2,2024,False,False,False,True,True,False,False,False,False,False,False,False,True,False
140,Chennai,Tamil Nadu,13.099257,80.226182,8,4,0,0,32,2,1,1,0,1,None,0.8,0,9,2024,False,False,True,False,False,True,False,True,False,True,False,False,False,False
141,Chandigarh,Punjab,30.612831,76.810119,22,4,1,1,17,1,0,4,4,0,None,0.25,0,11,2024,True,False,False,False,False,True,False,False,False,True,False,False,False,False
142,Bangalore,Karnataka,12.851488,77.589232,21,2,1,0,36,2,0,1,0,0,None,0.65,0,10,2024,True,False,False,False,True,False,False,True,False,False,False,False,True,False
143,Kolkata,West Bengal,22.408139,88.322983,21,3,0,1,29,2,0,1,0,0,None,0.45,0,12,2023,False,False,False,False,False,True,True,False,False,False,False,False,False,True
144,Kolkata,West Bengal,22.470344,88.318475,6,3,1,2,38,1,0,3,3,0,None,0.1,0,6,2022,True,False,False,False,False,False,False,True,False,False,True,False,False,False
145,Kolkata,West Bengal,22.672696,88.400666,15,2,0,2,28,0,1,2,1,0,None,0.1,0,1,2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,Chennai,Tamil Nadu,13.145041,80.133716,7,5,0,0,15,2,1,1,0,0,None,0.65,0,5,2022,False,False,False,True,True,False,False,False,False,False,False,False,False,False
147,Kolkata,West Bengal,22.524367,88.453597,1,5,0,1,26,0,0,2,0,0,None,0.25,0,7,2024,False,False,False,True,False,True,False,True,False,False,False,False,False,True
148,Bangalore,Karnataka,13.055067,77.418018,11,4,1,0,30,0,0,3,2,0,None,0.45,0,10,2023,False,False,False,False,False,True,True,False,False,False,False,True,False,False
149,Delhi,Delhi,28.654528,76.925723,2,4,1,0,35,0,1,5,2,0,None,0.45,0,10,2022,False,False,False,True,False,True,False,True,False,False,False,False,False,True
150,Bangalore,Karnataka,13.174917,77.602348,21,4,1,0,29,1,1,4,4,0,None,0.45,0,11,2023,True,False,False,False,False,True,True,False,False,True,False,False,False,False
151,Pune,Maharashtra,18.479329,73.88208,22,6,0,2,33,0,2,5,5,0,None,0.3,0,11,2022,False,False,True,False,False,False,True,False,False,False,True,False,False,False
152,Chandigarh,Punjab,30.65561,76.831544,3,6,1,1,25,0,2,1,1,0,None,0.45,0,4,2024,False,False,True,False,False,True,False,False,False,False,False,True,False,False
153,Bangalore,Karnataka,13.052805,77.617588,14,3,1,1,26,1,0,5,0,0,None,0.25,0,7,2024,False,False,False,True,False,True,False,True,False,False,False,False,True,False
154,Delhi,Delhi,28.834402,77.209459,12,5,1,0,33,1,2,3,3,0,None,0.65,0,12,2022,False,False,True,False,True,False,True,False,False,False,False,False,False,False
155,Mumbai,Maharashtra,19.090344,72.902108,10,6,0,2,35,2,2,2,2,1,None,0.65,0,3,2022,False,False,False,True,False,False,False,True,True,False,False,False,False,False
156,Chennai,Tamil Nadu,13.196352,80.138535,7,5,0,0,32,1,0,1,1,0,None,0.45,0,2,2023,True,False,False,False,True,False,False,True,False,True,False,False,False,False
157,Chennai,Tamil Nadu,13.152998,80.258685,22,1,0,0,19,2,1,4,2,0,None,0.65,0,9,2024,False,False,False,False,True,False,True,False,False,False,True,False,False,False
158,Delhi,Delhi,28.671166,77.064188,3,6,1,2,27,2,0,4,3,0,None,0.3,0,2,2023,False,False,False,False,False,False,True,False,False,True,False,False,False,False
